trans_date,trans_amount
2020-05-20 22:43:33.230715+00:00,2625.76
2020-05-20 22:42:06.760574+00:00,66.14
2020-05-20 22:29:07.932257+00:00,110
2020-05-20 22:23:02.780074+00:00,27
2020-05-20 22:13:42.477806+00:00,11.6
2020-05-20 22:09:54.365850+00:00,40
2020-05-20 22:08:34.199382+00:00,9.28
2020-05-20 22:06:19.957262+00:00,8.12
2020-05-20 21:58:48.655779+00:00,20
2020-05-20 21:56:19.895575+00:00,10
2020-05-20 21:36:39.168084+00:00,148.99
2020-05-20 21:33:33.094686+00:00,301.09
2020-05-20 21:02:51.334288+00:00,63
2020-05-20 21:00:10.279721+00:00,15
2020-05-20 20:56:04.092241+00:00,12.76
2020-05-20 20:55:13.179309+00:00,12.76
2020-05-20 20:44:37.259578+00:00,659
2020-05-20 20:37:31.077573+00:00,674.01
2020-05-20 20:34:48.260938+00:00,50
2020-05-20 20:24:05.739263+00:00,67.98
2020-05-20 20:22:46.057052+00:00,200
2020-05-20 20:00:33.485229+00:00,57.44
2020-05-20 19:55:38.524460+00:00,3145.77
2020-05-20 19:42:04.154653+00:00,311.9
2020-05-20 19:41:03.107056+00:00,2372.01
2020-05-20 19:21:49.382683+00:00,16
2020-05-20 19:06:32.297983+00:00,411.93
2020-05-20 18:56:54.110357+00:00,50
2020-05-20 18:24:24.944777+00:00,11.6
2020-05-20 18:22:13.897801+00:00,10
2020-05-20 18:19:55.354018+00:00,636.29
2020-05-20 18:11:48.415037+00:00,321
2020-05-20 17:54:53.630742+00:00,41.5
2020-05-20 17:49:52.130761+00:00,66.5
2020-05-20 17:47:47.715820+00:00,67
2020-05-20 17:46:56.315745+00:00,196.42
2020-05-20 17:44:15.457237+00:00,19
2020-05-20 17:40:50.310092+00:00,19
2020-05-20 17:20:25.646613+00:00,48
2020-05-20 16:57:38.848892+00:00,23530.2
2020-05-20 16:45:52.883754+00:00,12.76
2020-05-20 16:33:53.532624+00:00,302
2020-05-20 16:08:20.785906+00:00,17.5
2020-05-20 16:05:14.937124+00:00,672.45
2020-05-20 15:58:14.948662+00:00,16
2020-05-20 15:22:16.961309+00:00,276.75
2020-05-20 15:05:19.550202+00:00,276
2020-05-20 14:34:30.751422+00:00,11
2020-05-20 14:20:14.360691+00:00,50.02
2020-05-20 14:10:41.613857+00:00,823.56
2020-05-20 13:46:55.976159+00:00,494.75
2020-05-20 13:18:45.259037+00:00,2545.5
2020-05-20 11:57:37.325069+00:00,12.5
2020-05-20 08:40:07.315632+00:00,66.16
2020-05-20 07:15:55.073331+00:00,33.8
2020-05-20 06:30:54.187072+00:00,33.8
2020-05-20 06:25:20.671739+00:00,55.64
2020-05-20 06:01:10.347811+00:00,299
2020-05-20 03:52:53.950051+00:00,0.07
2020-05-20 03:37:18.971892+00:00,50
2020-05-20 03:24:47.458991+00:00,46.4
2020-05-20 03:02:10.839061+00:00,12.06
2020-05-20 02:53:08.716925+00:00,998.33
2020-05-20 02:32:45.623990+00:00,31.5
2020-05-20 01:58:38.821701+00:00,20
2020-05-20 00:57:33.139281+00:00,99
2020-05-20 00:56:41.890545+00:00,590.1
2020-05-20 00:34:53.412808+00:00,2
2020-05-20 00:21:38.044120+00:00,575
2020-05-20 00:17:13.769473+00:00,87.5
2020-05-19 23:59:32.376693+00:00,49
2020-05-19 23:56:51.397032+00:00,1695.18
2020-05-19 23:48:36.180713+00:00,423
2020-05-19 23:45:31.298112+00:00,283
2020-05-19 23:31:42.756054+00:00,11.6
2020-05-19 23:30:43.622506+00:00,11.6
2020-05-19 23:18:34.868959+00:00,326
2020-05-19 23:11:37.908453+00:00,238
2020-05-19 23:11:14.325979+00:00,26.99
2020-05-19 22:44:48.166536+00:00,113
2020-05-19 22:31:25.648330+00:00,159.01
2020-05-19 22:18:12.160577+00:00,958.45
2020-05-19 22:13:16.825207+00:00,12
2020-05-19 21:52:17.229889+00:00,1060
2020-05-19 21:51:05.124400+00:00,2489.39
2020-05-19 21:45:29.508594+00:00,591.53
2020-05-19 21:29:55.698196+00:00,62.12
2020-05-19 21:15:53.295443+00:00,34
2020-05-19 20:44:33.821957+00:00,5
2020-05-19 20:39:14.945193+00:00,118.8
2020-05-19 20:38:54.525177+00:00,181.4
2020-05-19 20:30:14.622291+00:00,15
2020-05-19 20:15:00.212244+00:00,551
2020-05-19 20:13:11.191292+00:00,3215
2020-05-19 20:10:19.822773+00:00,58.5
2020-05-19 20:07:15.675912+00:00,28
2020-05-19 19:31:26.987094+00:00,20
2020-05-19 19:17:42.786546+00:00,621.87
2020-05-19 18:38:38.047480+00:00,31.27
2020-05-19 18:18:53.723698+00:00,6
2020-05-19 17:48:29.738493+00:00,182
2020-05-19 17:15:47.840420+00:00,77
2020-05-19 17:13:07.347807+00:00,17
2020-05-19 16:55:43.254239+00:00,179
2020-05-19 16:43:37.340590+00:00,319.9
2020-05-19 16:36:16.615915+00:00,654.95
2020-05-19 16:27:58.164374+00:00,1131.44
2020-05-19 15:44:19.258172+00:00,40.17
2020-05-19 15:43:02.500621+00:00,196.42
2020-05-19 15:31:47.981783+00:00,23
2020-05-19 14:14:37.364221+00:00,89
2020-05-19 14:00:29.421342+00:00,629
2020-05-19 11:46:41.400888+00:00,99
2020-05-19 03:45:01.628145+00:00,29
2020-05-19 03:25:57.172693+00:00,100
2020-05-19 03:23:59.686470+00:00,10
2020-05-19 03:23:34.619771+00:00,20
2020-05-19 03:13:02.989903+00:00,20
2020-05-19 03:05:14.643799+00:00,22
2020-05-19 02:48:33.146677+00:00,152
2020-05-19 02:42:17.034305+00:00,54
2020-05-19 02:40:22.219128+00:00,52
2020-05-19 02:30:15.029608+00:00,49.8
2020-05-19 01:51:41.999764+00:00,2598.2
2020-05-19 01:42:40.424431+00:00,55.82
2020-05-19 00:52:57.205909+00:00,225
2020-05-19 00:32:48.624202+00:00,257
2020-05-18 23:41:22.013696+00:00,56
2020-05-18 23:12:54.271521+00:00,46
2020-05-18 22:38:23.406255+00:00,153
2020-05-18 22:37:43.378160+00:00,15
2020-05-18 22:34:56.855395+00:00,500
2020-05-18 22:26:42.789660+00:00,80
2020-05-18 21:41:46.446752+00:00,394.99
2020-05-18 21:28:08.175209+00:00,12.5
2020-05-18 21:24:13.621002+00:00,65
2020-05-18 21:23:54.390711+00:00,10
2020-05-18 21:03:51.790284+00:00,14.74
2020-05-18 21:02:48.053317+00:00,253
2020-05-18 20:49:44.781313+00:00,153
2020-05-18 20:42:51.013868+00:00,169
2020-05-18 20:36:09.691913+00:00,119.29
2020-05-18 20:20:53.735907+00:00,357.87
2020-05-18 20:13:23.628417+00:00,169
2020-05-18 20:08:56.722296+00:00,183
2020-05-18 20:08:33.545680+00:00,54
2020-05-18 20:02:50.057136+00:00,755.74
2020-05-18 19:55:38.461917+00:00,173
2020-05-18 19:55:20.580878+00:00,35
2020-05-18 19:48:42.929447+00:00,1
2020-05-18 19:40:24.752347+00:00,63
2020-05-18 19:32:35.189315+00:00,88.32
2020-05-18 19:24:20.997271+00:00,5031.32
2020-05-18 18:57:31.348447+00:00,15.5
2020-05-18 18:51:46.812277+00:00,23.86
2020-05-18 18:27:34.115745+00:00,1695.16
2020-05-18 18:24:06.269857+00:00,93
2020-05-18 17:30:33.882712+00:00,99
2020-05-18 16:10:39.833336+00:00,619.9
2020-05-18 15:29:06.663210+00:00,12.76
2020-05-18 14:55:28.438529+00:00,11.6
2020-05-18 14:55:10.076412+00:00,314
2020-05-18 14:52:03.564134+00:00,99
2020-05-18 14:51:35.978759+00:00,141
2020-05-18 14:36:26.247680+00:00,58.36
2020-05-18 14:31:40.597024+00:00,73
2020-05-18 14:29:40.237636+00:00,97.5
2020-05-18 14:05:58.905451+00:00,71.5
2020-05-18 13:11:00.424402+00:00,1097.46
2020-05-18 11:45:33.153991+00:00,534.68
2020-05-18 09:50:32.474915+00:00,33.8
2020-05-18 08:29:51.497405+00:00,100
2020-05-18 08:05:23.732113+00:00,449
2020-05-18 07:50:34.869867+00:00,20
2020-05-18 06:08:38.462309+00:00,33.8
2020-05-18 05:46:38.891491+00:00,168.99
2020-05-18 05:46:33.472421+00:00,1461
2020-05-18 05:17:25.878887+00:00,808.99
2020-05-18 05:04:11.534099+00:00,336.18
2020-05-18 03:55:36.962451+00:00,375.18
2020-05-18 03:53:46.301487+00:00,102.5
2020-05-18 03:23:32.850995+00:00,90
2020-05-18 02:56:19.219245+00:00,36.5
2020-05-18 02:41:16.833259+00:00,63
2020-05-18 02:32:13.356443+00:00,179.5
2020-05-18 02:21:28.984127+00:00,31.64
2020-05-18 02:01:55.179882+00:00,48
